seed,method,lam,tv,iou_true,iou_distractor,acc,f1
5,stg,4.0,0.0,0.8448275862068966,0.0,0.6,0.0
5,ours,0.02,0.0,0.13829787234042554,0.0,0.75,0.6376811594202898
5,ours,0.05,0.0,0.16939890710382513,0.0,0.77,0.676056338028169
5,ours,0.1,0.0,0.3128834355828221,0.0,0.76,0.6571428571428571
5,ours,0.3,0.0,0.4657534246575342,0.0,0.72,0.5757575757575758
5,l0,0.25,0.05,0.8448275862068966,0.0,0.72,0.5757575757575758
5,stg,0.25,0.05,0.8448275862068966,0.0,0.7,0.5
5,l0,0.5,0.05,0.8448275862068966,0.0,0.67,0.42105263157894735
5,stg,0.5,0.05,0.8448275862068966,0.0,0.64,0.3333333333333333
5,l0,1.0,0.05,0.8448275862068966,0.005780346820809248,0.67,0.42105263157894735
5,stg,1.0,0.05,0.8448275862068966,0.03571428571428571,0.62,0.2692307692307692
5,l0,2.0,0.05,0.8448275862068966,0.011627906976744186,0.67,0.42105263157894735
5,stg,2.0,0.05,0.8448275862068966,0.011627906976744186,0.59,0.0
5,l0,4.0,0.05,0.8448275862068966,0.017543859649122806,0.67,0.42105263157894735
5,stg,4.0,0.05,0.8448275862068966,0.0,0.6,0.0
5,ours,0.02,0.05,0.7540983606557377,0.0,0.74,0.6176470588235294
5,ours,0.05,0.05,0.7540983606557377,0.0,0.76,0.6571428571428571
5,ours,0.1,0.05,0.712,0.0,0.74,0.6060606060606061
5,ours,0.3,0.05,0.7833333333333333,0.0,0.74,0.6060606060606061
6,l0,0.25,0.0,0.8290598290598291,0.0,0.65,0.5882352941176471
6,stg,0.25,0.0,0.7983193277310925,0.0,0.63,0.5432098765432098
6,l0,0.5,0.0,0.8448275862068966,0.0,0.65,0.5882352941176471
6,stg,0.5,0.0,0.8448275862068966,0.0,0.67,0.611764705882353
6,l0,1.0,0.0,0.8448275862068966,0.0,0.59,0.4810126582278481
6,stg,1.0,0.0,0.8448275862068966,0.0,0.55,0.3835616438356164
6,l0,2.0,0.0,0.8448275862068966,0.0,0.6,0.5
6,stg,2.0,0.0,0.8448275862068966,0.0,0.44,0.034482758620689655
6,l0,4.0,0.0,0.8448275862068966,0.0,0.59,0.4810126582278481
6,stg,4.0,0.0,0.8448275862068966,0.0,0.46,0.0
6,ours,0.02,0.0,0.32098765432098764,0.0,0.76,0.7446808510638298
6,ours,0.05,0.0,0.2891566265060241,0.0,0.76,0.7446808510638298
6,ours,0.1,0.0,0.44594594594594594,0.0,0.76,0.7446808510638298
6,ours,0.3,0.0,0.712,0.0,0.74,0.717391304347826
6,l0,0.25,0.05,0.8448275862068966,0.0,0.62,0.5365853658536586
6,stg,0.25,0.05,0.8448275862068966,0.0,0.68,0.627906976744186
6,l0,0.5,0.05,0.8448275862068966,0.0,0.67,0.6206896551724138
6,stg,0.5,0.05,0.8448275862068966,0.0,0.64,0.5609756097560976
6,l0,1.0,0.05,0.8448275862068966,0.0,0.6,0.5
6,stg,1.0,0.05,0.8448275862068966,0.005780346820809248,0.67,0.611764705882353
6,l0,2.0,0.05,0.8448275862068966,0.0,0.6,0.5
6,stg,2.0,0.05,0.8448275862068966,0.0,0.51,0.24615384615384617
6,l0,4.0,0.05,0.8448275862068966,0.0,0.59,0.4810126582278481
6,stg,4.0,0.05,0.8448275862068966,0.0,0.46,0.0
6,ours,0.02,0.05,0.6850393700787402,0.0,0.76,0.7446808510638298
6,ours,0.05,0.05,0.7540983606557377,0.0,0.75,0.7311827956989247
6,ours,0.1,0.05,0.8290598290598291,0.0,0.76,0.7446808510638298
6,ours,0.3,0.05,0.8448275862068966,0.0,0.78,0.7708333333333334
7,l0,0.25,0.0,0.8448275862068966,0.0,0.68,0.5
7,stg,0.25,0.0,0.7983193277310925,0.0,0.71,0.5671641791044776
7,l0,0.5,0.0,0.8448275862068966,0.0,0.68,0.5
7,stg,0.5,0.0,0.8448275862068966,0.0,0.69,0.5230769230769231
7,l0,1.0,0.0,0.8448275862068966,0.0,0.65,0.4067796610169492
7,stg,1.0,0.0,0.8448275862068966,0.0,0.64,0.4
7,l0,2.0,0.0,0.8448275862068966,0.0,0.65,0.4067796610169492
7,stg,2.0,0.0,0.8448275862068966,0.0,0.57,0.1568627450980392
7,l0,4.0,0.0,0.8448275862068966,0.011627906976744186,0.64,0.35714285714285715
7,stg,4.0,0.0,0.8448275862068966,0.0,0.66,0.0
7,ours,0.02,0.0,0.39869281045751637,0.0,0.72,0.5882352941176471
7,ours,0.05,0.0,0.40789473684210525,0.0,0.72,0.6111111111111112
7,ours,0.1,0.0,0.6589147286821705,0.0,0.67,0.5352112676056338
7,ours,0.3,0.0,0.7258064516129032,0.0,0.74,0.6285714285714286
7,l0,0.25,0.05,0.8448275862068966,0.0,0.67,0.47619047619047616
7,stg,0.25,0.05,0.8448275862068966,0.0,0.68,0.5
7,l0,0.5,0.05,0.8448275862068966,0.0,0.67,0.47619047619047616
7,stg,0.5,0.05,0.8448275862068966,0.0,0.65,0.4262295081967213
7,l0,1.0,0.05,0.8448275862068966,0.0,0.65,0.4067796610169492
7,stg,1.0,0.05,0.8448275862068966,0.0,0.58,0.2222222222222222
7,l0,2.0,0.05,0.8448275862068966,0.0,0.62,0.2962962962962963
7,stg,2.0,0.05,0.8448275862068966,0.0,0.58,0.16
7,l0,4.0,0.05,0.8448275862068966,0.0,0.62,0.2962962962962963
7,stg,4.0,0.05,0.8448275862068966,0.0,0.67,0.0
7,ours,0.02,0.05,0.768595041322314,0.0,0.74,0.6388888888888888
7,ours,0.05,0.05,0.8135593220338984,0.0,0.74,0.6285714285714286
7,ours,0.1,0.05,0.7540983606557377,0.0,0.75,0.647887323943662
7,ours,0.3,0.05,0.8448275862068966,0.0,0.74,0.6285714285714286
8,l0,0.25,0.0,0.7540983606557377,0.0,0.63,0.3018867924528302
8,stg,0.25,0.0,0.7833333333333333,0.0,0.71,0.5245901639344263
8,l0,0.5,0.0,0.8135593220338984,0.0,0.65,0.36363636363636365
8,stg,0.5,0.0,0.8448275862068966,0.0,0.64,0.3333333333333333
8,l0,1.0,0.0,0.8448275862068966,0.0,0.66,0.39285714285714285
8,stg,1.0,0.0,0.8448275862068966,0.011627906976744186,0.6,0.2
8,l0,2.0,0.0,0.8448275862068966,0.011627906976744186,0.63,0.3018867924528302
8,stg,2.0,0.0,0.8448275862068966,0.0,0.6,0.09090909090909091
8,l0,4.0,0.0,0.8448275862068966,0.0,0.6,0.2
8,stg,4.0,0.0,0.8290598290598291,0.0,0.6,0.0
8,ours,0.02,0.0,0.32098765432098764,0.0,0.74,0.59375
8,ours,0.05,0.0,0.41721854304635764,0.0,0.74,0.59375
8,ours,0.1,0.0,0.41721854304635764,0.0,0.72,0.5483870967741935
8,ours,0.3,0.0,0.6850393700787402,0.0,0.78,0.6764705882352942
8,l0,0.25,0.05,0.8448275862068966,0.0,0.64,0.3333333333333333
8,stg,0.25,0.05,0.8448275862068966,0.0,0.65,0.36363636363636365
8,l0,0.5,0.05,0.8448275862068966,0.0,0.64,0.3333333333333333
8,stg,0.5,0.05,0.8448275862068966,0.011627906976744186,0.66,0.39285714285714285
8,l0,1.0,0.05,0.8448275862068966,0.0,0.64,0.3333333333333333
8,stg,1.0,0.05,0.8448275862068966,0.06097560975609756,0.6,0.2
8,l0,2.0,0.05,0.8448275862068966,0.0,0.64,0.3333333333333333
