seed,method,iou_causal,iou_spurious,mass_causal,mass_spurious,acc,f1
4,gradient_shap,0.5970149253731343,0.27906976744186046,0.2033676147762397,0.09979417204778217,0.74,0.723404255319149
4,l0_gate,0.296969696969697,0.4224137931034483,0.09258182737517714,0.05567619851968004,0.72,0.7021276595744681
4,stg_gate,0.3630573248407643,0.4224137931034483,0.15421471309016765,0.12319459356833565,0.6,0.47368421052631576
4,spatial_attn,0.5735294117647058,0.2992125984251969,0.09396295964856193,0.047216726859351466,0.73,0.6966292134831461
4,ours_TV,0.09183673469387756,0.4224137931034483,0.11911059167778701,0.1085327610365039,0.68,0.6595744680851063
5,saliency,0.0,0.0,0.0910353829384668,0.04393457784450609,0.8,0.7297297297297297
5,integrated_grad,0.5851851851851851,0.2890625,0.18135188750207212,0.09010100201674402,0.8,0.7297297297297297
5,grad_cam,0.5851851851851851,0.2890625,0.394723257024369,0.1828598164848945,0.8,0.7297297297297297
5,gradient_shap,0.5851851851851851,0.2890625,0.17994329028146674,0.08927913721587445,0.8,0.7297297297297297
5,l0_gate,0.19553072625698323,0.4224137931034483,0.08935800911638471,0.05790234681107744,0.79,0.704225352112676
5,stg_gate,0.2441860465116279,0.4224137931034483,0.12822511313330667,0.16146420237509065,0.82,0.7428571428571429
5,spatial_attn,0.47586206896551725,0.3983050847457627,0.09120846352144585,0.04607652125095336,0.74,0.6060606060606061
5,ours_TV,0.0,0.4224137931034483,0.07647786978014942,0.1184742233610834,0.82,0.75
6,saliency,0.4861111111111111,0.3865546218487395,0.1037501801329568,0.05250408092104134,0.76,0.75
6,integrated_grad,0.6461538461538462,0.24060150375939848,0.23910073073859345,0.1124041234739945,0.76,0.75
6,grad_cam,0.5851851851851851,0.2890625,0.488466920228987,0.22439117178895418,0.76,0.75
6,gradient_shap,0.6589147286821705,0.23134328358208955,0.23732874971091072,0.11116894517882986,0.76,0.75
6,l0_gate,0.38064516129032255,0.4224137931034483,0.0941050597283714,0.05175728057355026,0.68,0.627906976744186
6,stg_gate,0.41721854304635764,0.4224137931034483,0.17021948932138226,0.13971905585622416,0.69,0.6352941176470588
6,spatial_attn,0.5070422535211268,0.36363636363636365,0.09203146839406022,0.04636504674110491,0.76,0.7551020408163265
6,ours_TV,0.04390243902439024,0.375,0.12383772217465751,0.1035117962394978,0.72,0.7083333333333334
7,saliency,0.5851851851851851,0.0,0.10000101251061602,0.041254387848528626,0.72,0.6216216216216216
7,integrated_grad,0.8448275862068966,0.12244897959183673,0.21030238207034666,0.07455666959203872,0.72,0.6216216216216216
7,grad_cam,0.768595041322314,0.1619718309859155,0.5660664221812604,0.1427352440378626,0.72,0.6216216216216216
7,gradient_shap,0.8448275862068966,0.12244897959183673,0.20984104948997273,0.07438131558097538,0.72,0.6216216216216216
7,l0_gate,0.34591194968553457,0.4224137931034483,0.09338461912858996,0.054216256872529706,0.67,0.5074626865671642
7,stg_gate,0.436241610738255,0.41025641025641024,0.1770715182969735,0.1283239210230073,0.65,0.36363636363636365
7,spatial_attn,0.5507246376811594,0.32,0.09153472731645788,0.04590851726893073,0.71,0.5797101449275363
7,ours_TV,0.004694835680751174,0.4224137931034483,0.11052048268180507,0.10759017553595261,0.68,0.5294117647058824
8,saliency,0.0,0.0,0.08070441036999224,0.04133042616888951,0.78,0.6857142857142857
8,integrated_grad,0.6461538461538462,0.24060150375939848,0.15330600759870294,0.07392177908664845,0.78,0.6857142857142857
8,grad_cam,0.539568345323741,0.33064516129032256,0.3807857593653073,0.20574993768850902,0.78,0.6857142857142857
8,gradient_shap,0.671875,0.2222222222222222,0.1536542535649942,0.0743882124492457,0.78,0.6857142857142857
8,l0_gate,0.26627218934911245,0.4224137931034483,0.08951537456100828,0.05641867511461697,0.76,0.6666666666666666
8,stg_gate,0.3630573248407643,0.4224137931034483,0.15901213823675742,0.1873071554029854,0.81,0.7246376811594203
8,spatial_attn,0.539568345323741,0.33064516129032256,0.09286630514177394,0.046609075627956284,0.8,0.7297297297297297
8,ours_TV,0.07537688442211055,0.4224137931034483,0.10941644258564553,0.11970599410642913,0.78,0.725
9,saliency,0.19553072625698323,0.0,0.09216599534430787,0.04544483935422107,0.76,0.7142857142857143
9,integrated_grad,0.7833333333333333,0.15384615384615385,0.19012464325073958,0.08164553196581059,0.76,0.7142857142857143
9,grad_cam,0.6212121212121212,0.2595419847328244,0.48670597877246996,0.1976452564626689,0.76,0.7142857142857143
9,gradient_shap,0.768595041322314,0.1619718309859155,0.18977981776662617,0.08169120715662638,0.76,0.7142857142857143
9,l0_gate,0.38961038961038963,0.4224137931034483,0.09271949755525999,0.054765685954096685,0.74,0.6578947368421053
